DW_CLIENTES;customerkey;customer
8bc6b0c63fd7023c4c3516d9a603977f8a4687c99880baf4378b460f501bafb9;10025549;UNIS Supermarket
0bd0497dfb7a1c58af212f20a2e331362304e8982a255fe54e5ff365b142ca71;10020388;Metro-Goldwyn-Mayer, Supermarket
713139a8a4d0d6ebf96923061a84b8f39adf38cde48eb6abce747455c93eb019;10024260;Sigma Supermarket
6e15bbd1a2a4c5523b4813ccd7cff0553ab0e2e6cd53853678569748c7f74c1f;10021412;Panngea Shop
0e63b183112ef9c9e26663359432a6bf3272a2622222f3d6ba2c5c8498a37feb;10024524;Southam Supermarket
2e2c99a2e3b6cabab1c30056f7b19b54f46db986d68ded1779406fb3c89f6cc8;10022746;Rdlabs Shop
830720f5fc87eb61b005a739626e2f5d53105a151f9de7f33a4a76a7ae3387c4;10025552;Unison Medistore
4d8ca48f489c02a8510792e7457ac03b47fc6a9e86319738c17b1cbc650e2778;10006037;Bigelow Store
9e0f445ae978f01d0024d6a04923a0e37b389ef487156995b5513867937cbe67;10026861;Xyplex Shop
6c77da70c0590f510c45769cc019b1d7cd926344c03cb5e9d8d9806f61065583;10018867;Kari Supermarket
8b6af59e9307570c4b9defb3221e99d8ce26527eadbefbaaf5d7f78632082a1a;10025508;Unimedya Shop
2bbd909958fe582d83a89f9d0a7cd7f99a719d5d80715d77a7a78b92c9cd59ba;10006836;Biz-comm Shop
97cb5e464e71c9f455d815f8311fb4c574cdf3926490fdc2ad7108b6358c86d6;10015325;Helius Shop
957bec2af7734f05464b57521d63c8948cb3cf56d096a4b618facb8947090d59;10025036;Tampa Market
ca901ba0c9be40a229e0400dd16936efff7b7fb749e530abb892f832bd51dce4;10020364;Mersey Market
e6e9792039a4b3eb178581ea516b2d139f30b7a4833301b28daa57e16ba11816;10010698;Earth Shop
792714c0c1ebcdba0160ad069a5775f35132806f0aff0d1b4f950fdf25ab9ee5;10020927;Outbreak Shop
d0b7a5a325762f1a074ea5aaf9306db216c08b3a6235d95e8047dd893363a652;10026560;Xentec Shop
b04eabaabcef3e4a123f1acad38716463d973f07caa13943ed09be205b936e71;10023495;Safe Shop
97c208d5d9f0d1fc4ceb75a3776078a7aa4c924900f2e8b9a1bc6eb1cbb21093;10025304;UBF Shop
0044b8a0453972166d04bc9433c62605793086aca9a6d4cd7a6ed5006a9ab015;10009631;Clearout Shop
401aff8ae7e38ce1eff7dae5d6907ff65a3cdf1b06e7fa5d031c877998b39f62;10005861;Big Supermarket
9c0758ba607d09f9f42ae98d7f9414518f0d6166700f89e1a214af7053ca3419;10010906;ediSys Shop
03fc42922898b5693c309445c80016ae9a5d578d929f78cb00804465854dfed3;10002137;Accidental Shop
090182a7af26a7a29cbf84d9bb877e73da6700c877799265c4a3e6567cadc9c7;10025063;Taroch Mexistore
d75f3bda33170003d3a5bfa11ca70c0dfa6061299c5f3ce335c156e473ef5f2e;10000472;Aaron Store
4248fdef8e326bdb3097fe3ed2d2c03734becfd6666a3221c8bb3b8aeac3c176;10025264;Today Shop
e1b6271b872d5c2d0135c888b296f4d04e0329dd190ad7ab9af6946281ea9ede;10008893;Caravelle Shop
a7bf0b631c877e9d3b403f923c6936635ba9541ab808c967c9b2023e4ed68d72;10021139;Pace Shop
451aa45bac5ecd10e91bdac8adaff99221077ac1b1f8e164ab6166e70c5560ad;10020445;N.Graphics Shop
5af23b34525ea36ca6ba8c1abe6ab42463b1c270d504cd8b2b5ab04e621b91ba;10025583;United Market
bab4f69c6b29ff85c0d6aedb1a4639a6adf7a4a0bdddbd3db0f84374d7a1b02d;10019388;KeyComm Shop
426da323dfe621a078ed8d7aafa06637601fa36b84d5daaf8651a0321c3f4293;10024009;Scottish Supermarket
b42f17fefd02041c95a42dffe9c9407115d474d4396e0e93c890212bc6a405a4;10014471;Harts Superstore
