DW_TEMPO;invoice_date;_year;_month;_quarter
c8d8621a2b065d9184c1f74b15cec4bf15b6b6d613e2724bd21c70f561efe2e4;2017-08-17;2017;8;3
61201ef5f386ef49e7e514bf8d495c0c182bf2696c80861d0c312ce6e6f224e8;2017-10-18;2017;10;4
813f61aeae6871d1768f3d8c1e3e7c735732dc8ff3c6917f3f02182d379b27af;2017-02-23;2017;2;1
6e167a0e1faa2ba5669065cd5ad4ed73dbf0e2eb3c1e4d206d06c99581291a11;2018-12-22;2018;12;4
28beb59f1e97a2c1a75cf7f2080b63e7a8188df6aceccb3e568f9f22a0921bcf;2017-02-22;2017;2;1
f1cc7d16298a93bbbe92b9aba9af5f52b7fe4473c510af4b0c4eb2973200419a;2017-10-25;2017;10;4
a9a0c20fc455e5b4f1254aeb26e4ec28dde3b3c2bb99c158ffd8f0bc2362f136;2018-10-29;2018;10;4
7a657b44ac15aac05529cd33ee76eb42a2c5f8a9ab4043057203b52d91695f6b;2018-04-17;2018;4;2
b9f7f68ee62b905300e4e67c0471b338034948a774c4dd106dc2aa28036a60d6;2019-03-18;2019;3;1
cc2950d8c8984cbe42fa6caf9b3aa2509d09c3780f68f5e98fd9d066c0cda58a;2017-12-03;2017;12;4
1f41c20ddbe50e84da72481c31bc17593a29da4ca36f6fad851ed5e1a9e44c5b;2018-09-18;2018;9;3
0fcf624252945c8dc1527da422e28e80ed9bdbe8be1aa40909be8def2455a3ed;2018-01-09;2018;1;1
28528d2f2d6b62e6dd09a3686ae6f40e4eaadf7d3f5ec0aea7fbab4e890634b4;2017-10-22;2017;10;4
c88b97534cfd9b6657658082d120232c60e5d52055082cfac317e95f69640868;2018-01-21;2018;1;1
a49825a56f7d947f5b510cf2b960d2334e3fcc30e4eacb63eb3fc360ab89d669;2018-05-27;2018;5;2
b893d8ad99f32995c56bf0e85a615b96ba26bfb000f2b3842e3564ed6d8ce52e;2017-08-18;2017;8;3
cc460dee5547b31f3efc213a05213023ecbd2065ffb0cba31b4e18c4169fa972;2017-10-26;2017;10;4
20c7c410fde84740dfa3accd39e96aed85a6fedc72b6a93970f97d729b9c3e3b;2018-06-06;2018;6;2
e3c8e4ecdbc9ea6b54dea6853b8eef57bf87fbc0b97f04875f5ccbae2462e21b;2018-10-30;2018;10;4
d3f2f6e6f25c7735b8a7883d2940ab9290e60aac2821888e9b4fecf456fe068d;2017-05-07;2017;5;2
