Address Number;Business Family;Business Unit;Customer;CustomerKey;Customer Type;Division;Line of Business;Phone;Region Code;Regional Sales Mgr;Search Type
10000000;R3;1;City Supermarket;10000000;G2;2;   ;816-455-8733;4;S16;C
10000453;R3;1;A Supermarket;10000453;G1;1;   ;816-455-8733;5;S19;C
10000455;R3;1;Caribian Supermarket;10000455;G2;2;   ;816-455-8733;1;S16;C
10000456;R1;1;A&B Shop;10000456;G3;1;   ;816-455-8733;0;S2;C
10000457;O2;1;A&G Shop;10000457;G1;1;   ;816-455-8733;5;S1;C
10000458;R3;1;A&R Market;10000458;G2;2;   ;816-455-8733;4;S9;C
10000460;R3;1;Meals Market;10000460;G2;2;   ;816-455-8733;2;S16;C
10000461;R1;1;A1 Store;10000461;G3;1;   ;816-455-8733;0;S2;C
10000462;R3;1;a2i Shop;10000462;G2;2;   ;816-455-8733;4;S1;C
10000466;R3;1;A2Z Store;10000466;G2;2;   ;816-455-8733;1;S16;C
10000469;R3;1;A-2-Z Supermarket;10000469;G3;1;   ;816-455-8733;0;S5;C
10000471;R3;1;Aadast Shop;10000471;G1;1;M1;816-455-8733;5;S19;C
10000472;R3;1;Aaron Store;10000472;G2;2;   ;816-455-8733;1;S4;C
10000473;R3;1;Aaron Supermarket;10000473;G2;2;   ;816-455-8733;1;S16;C
10000474;R2;1;A-ARVIN Store;10000474;G2;2;   ;816-455-8733;4;S9;C
10000475;R3;1;AA-Wizard Shop;10000475;G2;2;   ;816-455-8733;2;S16;C
10000478;R3;1;Abacus Market;10000478;G2;2;   ;816-455-8733;2;S16;C
10000480;R2;1;Abbotsbury Shop;10000480;G2;2;   ;816-455-8733;1;S5;C
10000481;R2;1;Abbott Shop;10000481;G2;2;   ;816-455-8733;4;S5;C
10000486;R3;1;Aberdeen Shop;10000486;G2;1;   ;816-455-8733;5;S14;C
10000488;R3;1;ABI Supermarket;10000488;G1;1;M1;816-455-8733;5;S19;C
10000496;R3;1;AboveNet Shop;10000496;G2;1;   ;816-455-8733;5;S9;C
10000497;R3;1;Abplus Shop;10000497;G1;1;   ;816-455-8733;5;S16;C
10000499;R3;1;ABSolute Shop;10000499;G2;1;   ;816-455-8733;5;S16;C
10000501;R3;1;Absolute Supermarket;10000501;G3;1;   ;816-455-8733;5;S5;C
10000502;R3;1;Abstract Shop;10000502;G1;1;M1;816-455-8733;5;S19;C
10000601;R2;1;Radio Market;10000601;G2;2;   ;816-455-8733;2;S5;C
10001103;R3;1;AC Store;10001103;G2;1;   ;816-455-8733;5;S16;C
10001263;R3;1;AC&E Shop;10001263;G1;1;M1;816-455-8733;5;S19;C
10001784;R2;1;Acacia Shop;10001784;G2;1;   ;816-455-8733;5;S11;C
10001786;R3;1;Acara Shop;10001786;G2;1;   ;816-455-8733;5;S16;C
10001818;R3;1;Acc Supermarket;10001818;G2;1;   ;816-455-8733;5;S16;C
10002114;R3;1;Accel Supermarket;10002114;G2;1;   ;816-455-8733;5;S1;C
10002115;R3;1;Accent Store;10002115;G1;1;M1;816-455-8733;5;S19;C
10002117;O2;1;Accent Market;10002117;G1;1;   ;816-455-8733;5;S1;C
10002128;R3;1;Access Store;10002128;G1;1;M1;816-455-8733;5;S19;C
10002136;R3;1;AccessWare Shop;10002136;G1;1;M1;816-455-8733;5;S20;C
